Timestamp,N
2/7/2020 21:55:19,3
2/16/2020 16:18:46,1
2/16/2020 16:18:52,10
2/16/2020 16:19:04,5
2/16/2020 16:19:11,8
2/16/2020 16:20:48,5
2/16/2020 16:20:52,3
2/16/2020 16:20:57,10
2/16/2020 16:21:01,8
2/16/2020 16:21:49,5
2/16/2020 16:21:53,6
4/10/2020 8:02:22,5
6/20/2020 13:38:36,7
6/20/2020 13:38:50,2
7/13/2020 23:02:37,3
7/31/2020 10:38:32,4
7/31/2020 10:38:35,4
8/13/2020 23:19:24,5
8/15/2020 11:42:06,7
9/4/2020 22:24:14,3
9/10/2020 10:29:04,2
10/13/2020 3:58:43,10
10/13/2020 3:59:37,1
10/27/2020 3:24:08,10
11/25/2020 23:01:13,5
12/30/2020 10:16:18,7
2/18/2021 23:19:47,10
2/18/2021 23:20:04,2
5/22/2021 19:54:48,4
7/19/2021 22:58:51,4